labeling_set_id,label,source_data,vinoai_index,wine_name_for_matching,grape,colour
00aa4e02-cd49-38a7-aeae-eb8b7cdcc558,a,ON,ON2579,NV Gérard Bertrand Côte des Roses Rosé,Rosé- Dry,
00aa4e02-cd49-38a7-aeae-eb8b7cdcc558,a,PEI,PEI807,NV Gerard Bertrand Cote des Roses Rose,"Blend, Cinsaut, Syrah",
00aa4e02-cd49-38a7-aeae-eb8b7cdcc558,a,NL,NL965,NV Gerard Bertrand Cote des Roses Rose,Grenache Blend,
00aa4e02-cd49-38a7-aeae-eb8b7cdcc558,a,SK,SK195,NV Gerard Bertrand Cote Des Roses Rose,Blend,Rose
00aa4e02-cd49-38a7-aeae-eb8b7cdcc558,a,PEI,PEI124,NV Gerard Bertrand Cote des Roses Rose,"Blend, Cinsaut, Syrah",Rosé
00aa4e02-cd49-38a7-aeae-eb8b7cdcc558,a,PEI,PEI119,NV Gerard Bertrand Cote des Roses Rose,Garnacha,Rosé
00aa4e02-cd49-38a7-aeae-eb8b7cdcc558,a,NL,NL963,NV Gerard Bertrand Cote des Roses Rose,Grenache Blend,
00aa4e02-cd49-38a7-aeae-eb8b7cdcc558,a,PEI,PEI804,NV Gerard Bertrand Cote des Roses Rose,Garnacha,
00aa4e02-cd49-38a7-aeae-eb8b7cdcc558,a,NS,NS927,NV Gerard Bertrand Cote Des Roses Rosé,Red Blend,Rosé
00aa4e02-cd49-38a7-aeae-eb8b7cdcc558,a,NL,NL964,NV Gerard Bertrand Cote des Roses Rose,Grenache Blend,
01ce2244-c294-3ac0-aae2-1e9a0d3d2b6f,a,ON,ON8110,NV Harveys Bristol Cream Sherry,Cream Sherry,
01ce2244-c294-3ac0-aae2-1e9a0d3d2b6f,a,NL,NL1006,NV Harveys Bristol Cream Sherry,Palomino,
01ce2244-c294-3ac0-aae2-1e9a0d3d2b6f,a,PEI,PEI51,NV Harveys Bristol Cream Sherry,White Blend,Port/fortified
01ce2244-c294-3ac0-aae2-1e9a0d3d2b6f,a,ON,ON6558,NV Harveys Bristol Cream Sherry,Cream Sherry,
05914701-014e-32dc-822e-c556bc451d15,a,NB,NB275,NV Smoky Bay Cabernet Sauvignon,100% Cabernet Sauvignon,
05914701-014e-32dc-822e-c556bc451d15,a,ON,ON9389,NV Smoky Bay Cabernet Sauvignon,Cabernet Sauvignon,
05914701-014e-32dc-822e-c556bc451d15,a,BC,BC102,NV  Smoky Bay Cabernet Sauvignon,Cabernet Sauvignon,Red
05914701-014e-32dc-822e-c556bc451d15,a,ON,ON10003,NV Smoky Bay Cabernet Sauvignon,Cabernet Sauvignon,
05914701-014e-32dc-822e-c556bc451d15,a,SK,SK679,NV Smoky Bay Cabernet Sauvignon,Cabernet Sauvignon,Red
05914701-014e-32dc-822e-c556bc451d15,a,NB,NB1535,NV Smoky Bay Cabernet Sauvignon,100% Cabernet Sauvignon,
